age,monthly_income,rent,food,shopping,entertainment,debt,investment_amount,monthly_expense,savings,savings_ratio,expense_ratio,debt_to_income,cluster,financial_type,risk_category,risk_score
45,146958,27766.31085929889,20877.979069999605,16368.306177215092,11095.7893335252,7346.056839391034,24220.474666379974,117312.38213150308,22299.5610291059,0.151741048660882,0.7982714934301165,0.0499874579090014,3,Balanced,Medium,0.5820483654111221
43,66090,10683.29966429342,4968.890791579794,2219.4856651150976,1848.851213997452,6060.60202810672,8331.342459298961,27116.21461400479,32913.18335788849,0.4980054979253819,0.4102922471479012,0.0917022549267169,1,Saver,Low,0.10301678073602526
24,96932,15419.199161278537,9623.9621724289,4234.695713154435,4729.693483540869,17756.093097072062,15898.543927531431,59707.44727350879,19468.459629419147,0.2008465690320962,0.615972509321058,0.1831809216468458,1,Saver,Medium,0.48938584975862065
23,94092,15502.27052051117,7052.702963843418,12736.15600658634,9705.320804784398,38031.86163948703,11870.0296922652,66219.35510255507,0.0,0.0,0.7037724259507192,0.4041986740582306,0,Overspender,High,0.803510377070793
25,149243,26152.152198630727,12506.918008594905,13592.89136899952,5230.890679553639,29181.52912802659,14261.515112438448,77682.88181306004,42378.58905891337,0.2839569632003736,0.5205127330130059,0.1955303037866204,1,Saver,Medium,0.3739546353615636
35,44457,6579.26622581578,4269.37746088484,1489.583874262188,3655.4947785931654,9997.359753609837,6614.648510483165,27233.377356128633,7226.262890261531,0.1625449960694948,0.6125779372456224,0.2248770666848828,0,Overspender,Medium,0.5333756981210322
45,57606,10796.788387479091,5931.494179449622,2816.2152627335245,4093.237626451768,11195.07197492615,6788.1330810917625,49595.143591370834,0.0,0.0,0.8609371175115584,0.194338644844741,3,Balanced,High,0.8033313747405939
22,37185,10548.736494423018,4187.89430207569,3099.6025674248,2183.4399760705032,290.7198923356482,5795.296015016589,32820.509300308484,4073.770807355868,0.109554142997334,0.882627653632069,0.0078182033705969,3,Balanced,Medium,0.6476164461461179
49,92563,10264.165693876224,6067.13436200064,7930.381804610422,6529.35559192131,28044.73657282738,26063.44705445778,50608.27295821288,13909.99046895974,0.1502759252504752,0.546744087359019,0.3029799873905057,2,Risk Taker,Medium,0.5348873758749388
43,47662,11399.07998479316,4307.379256437946,4153.304621593642,4596.125679323354,15869.595680551563,9428.708789431425,39322.06934730871,0.0,0.0,0.8250192888948997,0.3329611783087483,0,Overspender,High,0.8562160354082626
48,49538,9325.529078042591,6647.950377836487,5979.209989459544,4119.26125058293,5845.110477261885,5648.1781432376165,33716.63841482171,9976.251107916403,0.2013858272016715,0.6806217129238507,0.1179924598744778,3,Balanced,Medium,0.5013178284484309
25,144176,24195.350134959328,15674.470421503618,8740.136653331538,15199.958569407836,34268.48864875207,27511.504716316776,108900.66639166904,1006.8449595788844,0.0069834435660504,0.7553314448428937,0.2376851115910558,2,Risk Taker,High,0.7424541949763611
49,43141,6501.692578425663,3120.00278873113,1630.2518420436284,2923.488137380554,12917.827544890966,9650.479199066474,20261.849137261943,9961.323317847093,0.2309015395527941,0.4696657272029378,0.299432733244268,1,Saver,Medium,0.42592405059721067
49,68585,12656.9576836772,5399.749257512123,5787.124522680808,3509.1979745095164,14283.167387344534,18574.19413948765,48844.661195628105,5457.171417027361,0.0795680019979202,0.7121770240668966,0.2082549739351831,3,Balanced,Medium,0.6494556249654565
29,46976,5829.918471817745,3224.516677156259,2995.339437969341,3461.062703553063,20216.83993952499,2430.4458209583036,26259.66562013914,499.49444033586406,0.0106329708858962,0.559001737485932,0.4303652916281717,0,Overspender,High,0.7000551813499826
33,30530,4542.27628376495,2081.1330454922,1870.3138061447112,2681.4715001173427,4933.692757296829,5486.169420456242,18583.778963066114,7012.5282796370575,0.2296930324152328,0.6087055015743895,0.1616014660103776,1,Saver,Medium,0.45434670228750756
44,77733,19915.799362443435,6676.826981127012,11611.51131405258,4459.300102769189,37957.6051808698,11874.435039066517,58156.11002032764,0.0,0.0,0.7481521364198942,0.4883074779163264,0,Overspender,High,0.8870244496125271
32,115084,21537.380610265227,11074.116077071838,8541.951733859007,6244.913866773926,31814.574131342353,22806.677442734035,65889.68975395139,17379.73611470626,0.1510178314509945,0.5725356240133415,0.276446544535664,2,Risk Taker,Medium,0.5390335159086083
54,134751,24164.387032755378,9562.356305230662,10126.370394767995,7924.659046870664,36098.08722687889,9779.209201150394,69911.34834525993,28741.56442786118,0.2132938859664208,0.5188187719961999,0.2678873420373792,1,Saver,Medium,0.45599973945996647
40,118384,15743.015589136132,6904.6285981498595,9197.14392462262,7812.104886356465,981.8667698976614,21075.10615342552,66341.21360580699,51060.91962429535,0.431316053050204,0.5603900324858679,0.008293914463928,1,Saver,Low,0.2099211138340058
46,36411,6179.538048022787,4448.872954540735,2841.7611146018994,3780.049995833227,2503.63754864988,4925.19172702274,26310.09323579924,7597.269215550881,0.2086531327222784,0.7225863952047249,0.0687604720729966,3,Balanced,Medium,0.5009993599733442
23,137561,44539.98482387443,14922.368965112362,17674.884240817377,15625.586471879204,38186.98942221682,25092.865802307653,118625.28941200869,0.0,0.0,0.8623468091392814,0.2776004057997311,2,Risk Taker,High,0.8529573794881644
24,56616,9593.063982001737,4804.628028861163,3665.00386494905,2121.2311869628015,9885.424638135204,13105.976678729368,25281.95315104939,21448.622210815403,0.37884382879072,0.4465513839029496,0.1746047873063304,1,Saver,Low,0.24897211083542636
46,29499,8857.971136991664,4085.9792027349654,1558.2408706878186,1646.3758004021165,13253.225003680156,5947.212707724561,24883.681214698347,0.0,0.0,0.8435432121325586,0.4492770942635396,0,Overspender,High,0.938408592662028
25,107018,24370.6120024991,12388.813949021516,11658.569003813418,9001.20695015782,53212.4243668424,10057.692172756037,94906.97824094028,0.0,0.0,0.8868319183776587,0.4972287313054103,0,Overspender,High,1.0
43,48328,7371.331113398222,4272.353165785466,5053.328400837253,3817.3477575668294,7443.980974321133,8971.371065564294,31265.647733692516,9618.37129198635,0.199022746482088,0.6469468575917173,0.1540303959261946,3,Balanced,Medium,0.49752990400319275
54,44830,7487.052121872126,4659.521242319432,2896.437115866069,3310.814500531033,9736.949702916258,6165.003754238077,23546.101664044167,11546.948633039576,0.2575719079419936,0.525230909302792,0.2171971827552143,1,Saver,Medium,0.4056292310929748
49,64790,10009.23028900935,7212.098317851303,3856.99313458434,2195.3691867647467,20910.0750259127,6108.250229695675,41871.110691262096,2008.814282825202,0.0310050051369841,0.6462588469094319,0.3227361479535839,0,Overspender,High,0.6932599156398654
54,43589,14639.519846489737,5237.568150432034,1999.926503676328,5459.890019080005,9332.059420501708,12713.32922682363,38225.99637148289,0.0,0.0,0.8769642885012937,0.2140920741586572,3,Balanced,High,0.8273005710641453
